source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,source_name,target_name,source_name_norm,target_name_norm,source_id,target_id,edge_id
Clément Delangue,Person,FOUNDED,Hugging Face,Company,gold01::c0000,2023-06-01,Clément Delangue was its co-founder,1.0,Clément Delangue,Hugging Face,clément delangue,hugging face,d2c297dc6aa8072764789bf6,7143630392df3f19fee3aab9,fd74ea1e5c6f1900a8c6d8ed6e86733a
Clément Delangue,Person,LEADS,Hugging Face,Company,gold01::c0000,2023-06-01,"The company, led by Clément Delangue",1.0,Clément Delangue,Hugging Face,clément delangue,hugging face,d2c297dc6aa8072764789bf6,7143630392df3f19fee3aab9,089f1baa64c2af31b701e6832816cf00
Google LLC,Company,INVESTED_IN,Anthropic,Company,gold02::c0000,2023-10-27,Google LLC invested in Anthropic in October 2023,1.0,Google,Anthropic,google,anthropic,0e132222d1315530d6efca52,9c282c38e493c826ee79d229,3b42cc17cc995d50631aa835f045e5a2
Google LLC,Company,PARTNERED_WITH,Anthropic,Company,gold02::c0000,2023-10-27,the investment would deepen its cloud partnership with Anthropic,1.0,Google,Anthropic,google,anthropic,0e132222d1315530d6efca52,9c282c38e493c826ee79d229,e6208b6559ec41ba67d5db3136b1e63c
Anthropic,Company,DEVELOPED,Claude,Technology,gold03::c0000,2023-03-14,Anthropic developed Claude,1.0,Anthropic,Claude,anthropic,claude,9c282c38e493c826ee79d229,b1c5d1cfdb95a6317cca7224,b36f107f3ed254a54790f6e3c4e3f020
Microsoft Corporation,Company,INVESTED_IN,OpenAI,Company,gold04::c0000,2019-07-22,Microsoft Corporation invested one billion dollars in OpenAI,1.0,Microsoft,OpenAI,microsoft,openai,fb0f4df56fab164ec48722f0,773eeb9b7cc008bff365fcdd,c4a57582374d1b3e0e52807c6ef0e805
Microsoft Corporation,Company,PARTNERED_WITH,OpenAI,Company,gold04::c0000,2019-07-22,the two companies partnered to build new Azure artificial-intelligence supercomputing technologies,1.0,Microsoft,OpenAI,microsoft,openai,fb0f4df56fab164ec48722f0,773eeb9b7cc008bff365fcdd,0ff046b9391ef830896699717962619e
MSFT,Company,INVESTED_IN,OpenAI,Company,gold05::c0000,2023-01-23,MSFT invested ten billion dollars in OpenAI in January 2023,1.0,Microsoft,OpenAI,microsoft,openai,fb0f4df56fab164ec48722f0,773eeb9b7cc008bff365fcdd,5da9f56a9e890984aefc37b8e0d0d341
OpenAI,Company,DEVELOPED,GPT-4,Technology,gold06::c0000,2023-03-14,OpenAI developed GPT-4 and released the named multimodal artificial-intelligence technology in March 2023,1.0,OpenAI,GPT-4,openai,gpt-4,773eeb9b7cc008bff365fcdd,4f654cded4bc39079c45cfed,f8effe57b9726eff2f81b0f9a834de7c
Meta Platforms,Company,DEVELOPED,Llama 2,Technology,gold07::c0000,2023-07-18,Meta Platforms developed Llama 2 and released the large language model in July 2023,1.0,Meta,Llama 2,meta,llama 2,6dbfdfc5a4e8df3668a4dac3,afec5285c51fcb0000ca9afa,e40f81d26086460373fff4987ed75d6f
Meta Platforms,Company,PARTNERED_WITH,Microsoft,Company,gold07::c0000,2023-07-18,Meta partnered with Microsoft to make the technology available through Azure,1.0,Meta,Microsoft,meta,microsoft,6dbfdfc5a4e8df3668a4dac3,fb0f4df56fab164ec48722f0,3fd2a3f4ca80d0e36441a80f3b36336d
Meta,Company,DEVELOPED,Llama 3,Technology,gold08::c0000,2024-04-18,Meta developed Llama 3 and released the next generation of its openly available large language model in April 2024,1.0,Meta,Llama 3,meta,llama 3,6dbfdfc5a4e8df3668a4dac3,c7c38a7891fbb4c7c61a4eaf,ce13228237da24c6b339ae1b1ee01c52
Apple Inc,Company,ACQUIRED,Beats Electronics,Company,gold09::c0000,2014-08-01,Apple Inc acquired Beats Electronics in 2014 for approximately three billion dollars.,1.0,Apple,Beats Electronics,apple,beats electronics,e6c3db5c28c9a15bfafd2e04,fa7547f12b311691ea7ed86c,f29fc67fc4599972d4f0bf331097bba6
Apple Inc,Company,USES,music business and technology,Technology,gold09::c0000,2014-08-01,The company later used the music business and technology as part of its broader services strategy.,1.0,Apple,music business and technology,apple,music business and technology,e6c3db5c28c9a15bfafd2e04,038f1a8134df999689a6c437,8a0fc5c30550108dd1d38e728f6b6197
AAPL,Company,DEVELOPED,Apple Silicon,Technology,gold10::c0000,2020-11-10,AAPL developed Apple Silicon for Mac computers and introduced the M1 technology in November 2020.,1.0,Apple,Apple Silicon,apple,apple silicon,e6c3db5c28c9a15bfafd2e04,5bd69c238e0e992d98836dba,7d7a56557e2979d8f3f83ffd10195fc6
AAPL,Company,DEVELOPED,M1 technology,Technology,gold10::c0000,2020-11-10,AAPL developed Apple Silicon for Mac computers and introduced the M1 technology in November 2020.,1.0,Apple,M1 technology,apple,m1 technology,e6c3db5c28c9a15bfafd2e04,7feb2d4720af1d55df88ec65,e87cfd39d6626b31a2f5c09512e38c10
GOOGL,Company,DEVELOPED,TensorFlow,Technology,gold11::c0000,2015-11-09,GOOGL developed TensorFlow and released the machine-learning technology as open-source software in November 2015.,1.0,Google,TensorFlow,google,tensorflow,0e132222d1315530d6efca52,b56cb110716fa69474691dff,223d96a85f3aff3a2468ceb50ccc86b8
